id,Instance of,Title,Genre,Duration,Publication date,Netflix ID,Disney+ movie ID,Disney+ series ID,Hulu ID
Q181248,movie,A Christmas Carol,"['Q130232', 'Q28026639', 'Q52162262', 'Q157394', 'Q31888058']",69.0,1938-12-16,70040470,,,
Q182206,anime,Evangelion: 3.0 You Can (Not) Redo,"['Q5366020', 'Q15637299', 'Q4292083', 'Q103109864']",96.0,2012-11-17,70297628,,,
Q182254,movie,The Simpsons Movie,"['Q157443', 'Q202866', 'Q319221', 'Q1361932']",83.0,2007-07-25,70058029,jfibFuFryQWc,,
Q183066,movie,The Hurt Locker,"['Q3990883', 'Q369747', 'Q459290', 'Q130232', 'Q188473']",131.0,2008-09-04,70105601,,,
Q185053,movie,The Paper Chase,"['Q2975633', 'Q130232', 'Q52162262']",113.0,1973-01-01,60011288,,,
Q185535,movie,Jellyfish,"['Q130232', 'Q3072031']",82.0,2007-01-01,70084314,,,
Q185884,movie,Tetsuo: The Iron Man,"['Q200092', 'Q471839', 'Q130232', 'Q102260466', 'Q174526', 'Q1077883', 'Q108084492']",67.0,1989-01-01,1034205,,,
Q186587,movie,Troy,"['Q369747', 'Q52207310', 'Q130232', 'Q188473', 'Q1433443']",155.0,2004-01-01,60034571,,,
Q186864,movie,Thirteen Ghosts,"['Q200092', 'Q31888058']",92.0,2001-01-01,60020824,,,
Q187266,movie,Toy Story 2,"['Q663106', 'Q21401869', 'Q157394', 'Q157443']",92.0,1999-01-01,60036638,6eunXQzaXkGr,,
Q188384,movie,Orlando,"['Q157394', 'Q130232', 'Q20442589', 'Q52207399']",94.0,1992-01-01,831545,,,
Q188439,movie,Tangled,"['Q842256', 'Q1957385', 'Q157443', 'Q2975633']",100.0,2010-11-24,70128681,"['3V3ALy4SHStq', '5mb1AVLjOo2k']",,
Q188850,movie,Mamma Mia!,"['Q860626', 'Q842256', 'Q1548170']",108.0,2008-06-30,70097579,,,
Q189505,movie,Jaws,"['Q2484376', 'Q52207399', 'Q319221', 'Q130232', 'Q200092', 'Q109626272', 'Q1200678', 'Q188473']",124.0,1975-01-01,60001220,,,
Q189875,movie,Alice in Wonderland,"['Q157394', 'Q842256', 'Q319221', 'Q2143665', 'Q2975633', 'Q52162262']",75.0,1951-07-28,60031746,2l0X3WdCxQ4F,,
Q190050,movie,Fight Club,"['Q21401869', 'Q130232', 'Q2484376', 'Q52207399', 'Q590103']",139.0,1999-01-01,26004747,38HCX4uW3BlA,,
Q191100,movie,Transformers: Revenge of the Fallen,"['Q188473', 'Q471839']",150.0,2009-06-19,70103763,,,
Q191921,movie,Zero Effect,"['Q1200678', 'Q16950433', 'Q157443']",111.0,1998-01-30,8177288,,,
Q192212,movie,Cars 2,"['Q2297927', 'Q188473', 'Q663106', 'Q959790']",107.0,2011-06-18,70184048,1Evb1neuySt0,,
Q192409,movie,Down by Law,"['Q663106', 'Q157443', 'Q586250', 'Q459290', 'Q628165', 'Q130232']",107.0,1986-01-01,60024537,,,
Q192686,movie,Prometheus,"['Q471839', 'Q200092', 'Q10663882']",124.0,2012-05-30,70217911,4lnNfuayI4z7,,
Q193462,tv,Gilmore Girls,"['Q1366112', 'Q859369']",42.0,,70155618,,,
Q193835,movie,Good Will Hunting,"['Q1054574', 'Q2975633', 'Q130232']",126.0,1997-01-01,17405997,,,
Q194213,tv,Stargate Universe,"['Q336059', 'Q1366112']",43.0,,,,,df87d7f4-129a-4e42-828c-e08bb3321592
Q195274,movie,Little Women,"['Q130232', 'Q52207399', 'Q1054574']",115.0,1933-11-16,60011720,,,
Q195920,movie,The Substitute,"['Q200092', 'Q157443', 'Q157394', 'Q471839']",93.0,2007-06-15,70105904,,,
Q196685,movie,Escape Plan,"['Q2484376', 'Q188473', 'Q586250']",115.0,2013-07-18,70273614,,,
Q196933,movie,The Talk of the Town,"['Q860626', 'Q130232']",119.0,1942-01-01,60011394,,,
Q196936,movie,The Parallax View,"['Q52207399', 'Q109733333']",102.0,1974-01-01,841836,,,
Q197233,movie,"Murder, She Said","['Q1788980', 'Q1200678', 'Q157443', 'Q52207399']",83.0,1961-01-01,70046583,,,
Q197470,movie,Headspace,Q200092,89.0,2005-01-01,70046307,,,
Q198557,movie,Monkey Shines,"['Q224700', 'Q471839', 'Q52162262', 'Q130232']",108.0,1988-01-01,770194,,,
Q199314,tv,Zig and Sharko,Q9335576,7.0,,70286809,,,
Q200431,movie,Chitchor,"['Q860626', 'Q842256', 'Q130232']",105.0,1976-01-01,70055848,,,
Q200572,movie,"I, Robot","['Q471839', 'Q188473', 'Q20443008', 'Q52162262', 'Q2973181', 'Q25533274', 'Q2421031', 'Q174526']",115.0,2004-01-01,60036238,3N5475cdpZUj,,
Q200804,movie,Predator,"['Q188473', 'Q471839', 'Q200092', 'Q2484376']",107.0,1987-01-01,70001473,7gsCP3jIwrr7,,
Q200827,movie,The Wicker Man,"['Q200092', 'Q20443008', 'Q959790', 'Q1200678']",101.0,2006-01-01,70048301,,,
Q201819,movie,District 9,"['Q2484376', 'Q471839', 'Q188473', 'Q130232', 'Q3272147', 'Q20443008', 'Q1077883']",112.0,2009-08-13,70113005,,,
Q202029,movie,Bringing Down the House,Q860626,105.0,2003-03-07,60026138,6F3sNwIqOrST,,
Q203388,movie,One Eight Seven,"['Q959790', 'Q130232', 'Q2484376', 'Q5897543']",114.0,1997-07-30,26597413,,,
Q203778,movie,The Muse,Q157443,93.0,1999-01-01,26058240,,,
Q204057,movie,Philadelphia,"['Q3072039', 'Q130232', 'Q20442589']",125.0,1993-01-01,855084,,,
Q204662,movie,The Sword in the Stone,"['Q157394', 'Q842256', 'Q2975633', 'Q663106', 'Q52162262']",75.0,1963-12-25,60003895,1roEKWSIkRLe,,
Q205028,movie,Iron Man 2,"['Q188473', 'Q471839', 'Q319221', 'Q1535153']",125.0,2010-04-29,70111470,lXjCr9QmGGQJ,,
Q205321,movie,The Killers,"['Q959790', 'Q185867', 'Q130232', 'Q2484376', 'Q52162262']",103.0,1946-01-01,60030651,,,
Q206124,movie,Midnight in Paris,"['Q860626', 'Q157394', 'Q471839', 'Q102706436', 'Q104765957']",94.0,2011-01-01,70181730,,,
Q206336,movie,The Runaways,"['Q645928', 'Q1146335', 'Q2975633', 'Q20442589', 'Q130232', 'Q842256']",106.0,2010-01-24,70123100,,,
Q206388,movie,Once Upon a Time in America,"['Q959790', 'Q21401869', 'Q130232', 'Q52207399', 'Q7444356', 'Q17013749', 'Q21010853']",227.0,1984-01-01,60028306,6o6Oh4CErZKg,,
Q206497,movie,The Blind Side,"['Q859369', 'Q130232', 'Q52162262', 'Q645928', 'Q111278985']",126.0,2009-11-17,70119811,,,
Q207659,movie,Space Jam,"['Q21192427', 'Q2143665', 'Q157443', 'Q157394', 'Q1339864', 'Q25110269']",88.0,1996-01-01,986399,,,
Q207921,movie,Chariots of Fire,"['Q645928', 'Q1339864', 'Q130232', 'Q17013749']",118.0,1981-03-30,60037204,3Zwc6Gx3Wxvy,,
Q208988,movie,The Last Day,Q130232,105.0,2004-01-01,70041578,,,
Q209170,movie,Mary Poppins,"['Q157394', 'Q842256', 'Q157443', 'Q1361932', 'Q52207399', 'Q25110269']",140.0,1964-08-27,60036639,3P3waOoBmUdm,,
Q209282,tv,Frasier,Q21188110,22.0,,,,,0cb9b63b-de82-4751-99c9-1cb12118ab9d
Q209395,movie,2-Headed Shark Attack,"['Q1342372', 'Q2484376', 'Q319221', 'Q471839']",88.0,2012-01-17,70200123,,,
Q210873,movie,Leave Her to Heaven,"['Q130232', 'Q185867', 'Q52207399']",110.0,1945-01-01,60010585,,,
Q211206,movie,Stand and Deliver,"['Q645928', 'Q1146335', 'Q2975633', 'Q130232']",103.0,1988-01-01,994957,,,
